id,keywords,year,_labels,_logos,_mAdditionalNotes,_mAdditionalKeywords,_mNotesIntent,_mSigned,_mAdditionalTheme,_mNotesImageAndText,_mText,_mShow,_mTitle,_mStrategy,_mCulturalContext,_mTone,_mConcern,_mLetteringStyle,_mContains,_mMade
100D0001_DSC2889,"women's rights,resistance,healthcare,meta (comment on sign or protest, e.g. ""i make the best signs""),visually represent nurses?",,"text, purple, font, poster, graphic design",,,"MNA, nurses, boston march, women's march, gender symbol, stethoscope, health",,,organizational (represents a group),"The ""o"" in women's is the female symbol. there is also a stethoscope. colors are purple orange and green (with red and blue for MNA logo)","21 JAN 2017 WOMEN'S BOSTON MARCH FOR AMERICA MNA Massachusetts Nurses Association | bostonwomensmarchforamerica.org","text, graphics, logo","MNA Women's March",visually represent nurses?,the march itself,"meta (comment on sign or protest, e.g. ""i make the best signs"")","women's rights, resistance, healthcare",typeface (imitative),"text, illustration",print
100D0001_DSC2890,"trump,resistance,wealth inequality,assertive,indignation,demand,call to action",,"text, poster, font, advertising, banner",Back to the Roots,,"socialist alternative,tax the rich,resisttrump",,Socialist Alternative,anti-wealth inequality,"stylized: holes in 'R's filled in for hashtag; red specks printed on white text over red background to give appearance of distress",#RESISTTRUMP TAX THE RICH SocialistAlternative.org f/SocialistAlternativeUSA,red background behind white text; black background top and bottom stripe behind white text,Socialist Alternative: Tax The Rich,"demand, call to action","internet (tweets, tech jargon (e.g. alt r+ del)), famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, indignation","trump, resistance, wealth inequality","typeface (imitative), sans serif",text,print
100D0001_DSC2891,"trump,resistance,assertive,rage,determined,demand,call to action",,"text, font, poster, design",,,"no, fascism, regime, stopped",,,,,NO! this fascist regime must be stopped before it starts www.refusefascism.org,,No!,"demand, call to action",other,"assertive, rage, determined","trump, resistance",block,text,print
100D0001_DSC2892,"institutions/supreme court/political parties,trump,assertive,complaint",,"text, font, writing",,,"FBI, trump, side",,,,FBI is written in big red letters on the right side of the poster,it must be nice it must be nice to have the FBI on his side,,FBI on his side,complaint,other,assertive,"institutions/supreme court/political parties, trump",hand-written,text,marker
100D0001_DSC2893,"love,resistance,assertive,loving,call to action",,"font, text, product, design, calligraphy",,,"revolution,love,love revolution",ron paul used same concept in 2012 campaign,,play on words,"stylized to emphasize LOVE, very neat and even lettering",REVOLUTION REVOLUTION REVOLUTION ,black text with LOVE backwards in red inside word,rEVOLution,call to action,"famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, loving","love, resistance",hand-written,text,marker
100D0001_DSC2894,"climate,earth,environment,resistance,assertive,demand,call to action",,"text, poster, product, font, advertising, banner",,,"protect, planet, resist, bigotry, oppression",,,,,protect our planet resist bigotry oppression and exploitation,earth,Protect Our Planet,"demand, call to action",other,assertive,"climate, earth, environment, resistance","block, hand-written","text, drawing","drawing, marker"
100D0001_DSC2895,"feminism,gender equality,lgbtq,reproductive rights,trans rights,uterus,women's rights,assertive,determined,demand",,"text, font, calligraphy, handwriting, art",,,"women, support, gender, genitalia",,,,cross through the equals sign,Support All Women (Gender = Genitalia),,Support All Women,demand,other,"assertive, determined","feminism, gender equality, lgbtq, reproductive rights, trans rights, uterus, women's rights",hand-written,text,marker
100D0001_DSC2896,"civil rights,resistance,assertive,meta (comment on sign or protest, e.g. ""i make the best signs""),solidarity",,"font, art, design, product design",,,"democracy,right to organize,patriotism",,,democracy,"even lettering, thick marker used, space left below text",PROTEST IS PATRIOTIC,"black text above, last word alternating blue and red letters",PATRIOTIC,solidarity,"right to organize, first amendment","assertive, meta (comment on sign or protest, e.g. ""i make the best signs"")","civil rights, resistance","block, sans serif",text,marker
100D0001_DSC2897,"immigration,refugees,assertive,indignation,complaint,empathy",,"blue, text, font, product, signage",,,"personhood,immigration",,,,uneven mix of colors and block drawing,No Person IS ILEEGAL!,"text is mixed black, blue, block, non-block ",No Person Is Ileegal!,"complaint, empathy","famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, indignation","immigration, refugees","block, hand-written",text,marker
100D0001_DSC2898,"immigration,assertive,indignation,demand",,"text, font, handwriting, writing, whiteboard",,,"undocumented,simple sign,text only",,,undocumented immigrants,"simple, made quickly",Protect Undocumented Immigrants Now!,"black text, blank otherwise",Protect Undocumented Immigrants Now!,demand,,"assertive, indignation",immigration,hand-written,text,marker
100D0001_DSC2899,"civil rights,earth,election,environment,gender equality,reproductive rights,science,healthcare,national parks,maximalism?,encouragement,solidarity",,"text, font, banner, advertising, product",,prevalence of woody guthrie lyrics,"choose peace, ACA, science, 3 million votes, national parks, kids",safety pins popular symbol to show allyship in the case of discrimination (coded as potentially performative),,,Colorful list of yellow blue and orange with decorate bubbles containing more buzz words,"[words separated by dividing lines] HONOR OUR DEFFERENCES Choose Peace CHOICE Believe Science Majority 3 Million MORE Votes This land is Our Land! NATIONAL PARKS [inserted words:] Truth, ACA, Protext, UNITE","text, butterflies, safety pins, tree, peace sign",Honor OUR Defferences ,"encouragement, solidarity","pop culture (e.g. princess leah, song lyrics, etc), famous protest slogan (e.g. we shall overcome, black lives matter)",maximalism?,"civil rights, earth, election, environment, gender equality, reproductive rights, science, healthcare, national parks",hand-written,"text, illustration, sticker, safety pins","drawing, kids drawing"
100D0001_DSC2900,"civil rights,reproductive rights,women's rights,resistance,assertive,determined,demand,solidarity",,"pink, red, text, font, handwriting",,,"protect, rights",,,,,Here to Protect my RIGHTS,,Protect my Rights,"demand, solidarity",other,"assertive, determined","civil rights, reproductive rights, women's rights, resistance",hand-written,text,marker
100D0001_DSC2901,"resistance,determined,solidarity",,"pink, red, text, font, handwriting",,,"solidarity, together, gather",,,,,In Solidarity we gather,,In Solidarity,solidarity,other,determined,resistance,hand-written,text,marker
100D0001_DSC2902,"feminism,gender equality,women's rights,assertive,determined,encouragement,solidarity",,"green, text, font, product design, product",,,"female, future, feminism",,,,,the future is female,,The Future Is Female,"encouragement, solidarity","famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, determined","feminism, gender equality, women's rights","block, hand-written",text,marker
100D0001_DSC2903,"feminism,gender equality,reproductive rights,women's rights,trump,resistance,healthcare,assertive,humor,rage,insults,determined,demand",,"pink, text, font, sign, handwriting, magenta, product, calligraphy, paper",,humor functioning at the march,"tiny hands,autonomy,repro,respect,hashtag",,,"bodily autonomy, respect","'o' in 'women' is a female symbol ♀",Keep your LAWS (and tiny hands) OFF my body #RespectWomen,text,Keep Your Laws,demand,"internet (tweets, tech jargon (e.g. alt r+ del)), pop culture (e.g. princess leah, song lyrics, etc), things trump said","assertive, humor, rage, insults, determined","feminism, gender equality, reproductive rights, women's rights, trump, resistance, healthcare",hand-written,text,marker
100D0001_DSC2904,"election,institutions/supreme court/political parties,trump,resistance,assertive,humor,indignation,demand",,"pink, red, text, font, magenta, paper, handwriting, calligraphy",,,"congress,maga,dump trump,repeal",,,anti-congress,,Make America Think Again / Dump Trump / Repeal Congress,black text,Make America Think Again,demand,things trump said,"assertive, humor, indignation","election, institutions/supreme court/political parties, trump, resistance",hand-written,text,marker
100D0001_DSC2905,"feminism,race,resistance,determined,solidarity",,"art, modern art, font, painting, visual arts",,role that race plays in this illustration,"fist,black power,illustration,women's power",,,artistic,,,"woman with fist up, long black hair, orange black and yellow design on her skin with other women's faces and a stripe design",Yelling Woman,solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)",determined,"feminism, race, resistance",,illustration,print
100D0001_DSC2906,"civil rights,women's rights,resistance,determined,encouragement",,"text, font, poster, label, signage",,,"bodies, minds, power",,,,,Our Bodies Our Minds Our Power,words written on flags,"Our Bodies, Our Minds, Our Power",encouragement,other,determined,"civil rights, women's rights, resistance",decorative,"text, illustration",print
100D0001_DSC2907,"civil rights,institutions/supreme court/political parties,race,war,women's rights,resistance,assertive,determined,demand,solidarity",,"poster, art, font, advertising, modern art",,,"black power,fist,torch,dove,hands,unity,resistance",potentially printing information in bottom corner but too small to see,,activism,printed and dated specific for event,"HEAR OUR VOICE. WOMEN'S MARCH ON WASHINGTON | JANUARY 21, 2017","hands of varying colors hold up a black power fist, from which a flame burns. a dove comes from the flame",Hear Our Voice (Torch),"demand, solidarity","famous protest slogan (e.g. we shall overcome, black lives matter), historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?","assertive, determined","civil rights, institutions/supreme court/political parties, race, war, women's rights, resistance","typeface (imitative), sans serif, serif","text, illustration",print
100D0001_DSC2908,"trump,assertive,rage,complaint",,"text, pink, font, handwriting, calligraphy, area, rectangle",,,"Dante, hell, neutrality, crisis",,,,,"""the hottest places in hell are reserved for those who, in times of great moral crisis, maintain their neutrality"" -Dante (1265-1321)",,Dante Quote,complaint,historic reference,"assertive, rage",trump,hand-written,text,marker
100D0001_DSC2909,"civil rights,love,assertive,demand",,"pink, text, red, font, magenta, banner, greeting card, rectangle",,,"justice, equality, freedom, all",,,,"""all"" is underlined 3 times","justice, equality, freedom. for all. ",,Justice,demand,other,assertive,"civil rights, love",hand-written,text,marker
100D0001_DSC2910,"reproductive rights,women's rights,assertive,demand,solidarity",,"text, font, sign, signage, number",,,"trump, assault, asking",,,,"never is in teal, other words in black",never asking for it,,Never Asking For It,"demand, solidarity",things trump said,assertive,"reproductive rights, women's rights","block, hand-written",text,paint
100D0001_DSC2911,"history,race,women's rights,resistance,assertive,determined,solidarity",,"red, text, font, drawing, art",,,"mozambique,pan-africa,pan-african movement,unity","more information in sticker, too small to read",,pan-Africa,"Portuguese text translates to ""The struggle continues,"" reference to Mozambique independence movement (https://en.wikipedia.org/wiki/A_luta_continua). Small additional text in blue sticker but too small to read.",A Luta Continua (We take freedom personally!),"raised fist, pan-African flag, female symbol, text",A Luta Continua,solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter), historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?","assertive, determined","history, race, women's rights, resistance","cursive, hand-written","text, illustration, collage","drawing, marker, collage"
